Image,Ground Truth,EasyOCR Prediction,Match
frame_4349.png,24,24,True
frame_4350.png,24,24,True
frame_4351.png,24,24,True
frame_4352.png,24,24,True
frame_4353.png,24,24,True
frame_4354.png,24,24,True
frame_4355.png,24,24,True
frame_4356.png,24,24 4,False
frame_4357.png,24,24 4,False
frame_4358.png,24,24,True
frame_4359.png,24,24,True
frame_4360.png,24,24,True
frame_4361.png,24,24 50,False
frame_4362.png,24,24,True
frame_4363.png,24,24 50,False
frame_4364.png,24,24,True
frame_4365.png,24,24 0,False
frame_4366.png,24,24 0,False
frame_4367.png,24,24 0,False
frame_4368.png,24,24 0,False
frame_4369.png,24,24 0,False
frame_4370.png,24,24,True
frame_4371.png,24,24,True
frame_4372.png,24,24,True
frame_4373.png,24,24 4,False
frame_4374.png,24,24 4,False
frame_4375.png,24,24 4,False
frame_4376.png,24,24 4,False
frame_4377.png,24,24 4,False
frame_4378.png,24,24,True
frame_4379.png,24,24 4,False
frame_4380.png,24,24 0,False
frame_4381.png,24,24 0,False
frame_4382.png,24,24 0,False
frame_4383.png,24,24 0,False
frame_4384.png,24,24 50,False
frame_4385.png,24,24 50,False
frame_4386.png,24,24,True
frame_4387.png,24,24 0,False
frame_4388.png,24,24 0,False
frame_4389.png,24,24 0,False
frame_4390.png,24,24 0,False
frame_4391.png,24,24 0,False
frame_4392.png,24,24 0,False
frame_4393.png,24,24 0,False
frame_4394.png,24,24 0,False
frame_4395.png,24,24 0,False
frame_4396.png,24,24 0,False
frame_4397.png,24,24 0,False
frame_4398.png,24,24,True
frame_4399.png,24,24,True
frame_4400.png,24,24 0,False
frame_4401.png,24,24 -0,False
frame_4402.png,24,24,True
frame_4403.png,24,24,True
frame_4404.png,24,24,True
frame_4405.png,24,24,True
frame_4406.png,24,24,True
frame_4407.png,24,24,True
frame_4408.png,24,24,True
frame_4409.png,24,24,True
frame_4410.png,24,24,True
frame_4411.png,24,24,True
frame_4412.png,24,24 0,False
frame_4413.png,24,24 0,False
frame_4414.png,24,24 0,False
frame_4415.png,24,24 0,False
frame_4416.png,24,24 0,False
frame_4417.png,24,24,True
frame_4418.png,24,24,True
frame_4419.png,24,24 50,False
frame_4420.png,24,24,True
frame_4421.png,24,24,True
frame_4422.png,24,24,True
frame_4423.png,24,24,True
frame_4424.png,24,24,True
frame_4425.png,24,24,True
frame_4426.png,24,24,True
frame_4427.png,24,24 7,False
frame_4428.png,24,24,True
frame_4429.png,24,24 0,False
frame_4430.png,24,24,True
frame_4431.png,24,24,True
frame_4432.png,24,24,True
frame_4433.png,24,24,True
frame_4434.png,24,24,True
frame_4435.png,24,24 0,False
frame_4436.png,24,24 0,False
frame_4437.png,24,24 0,False
frame_4438.png,24,24 0,False
frame_4439.png,24,24 0,False
frame_4440.png,24,24 0,False
frame_4441.png,24,24 0,False
frame_4442.png,24,24 0,False
frame_4443.png,24,24,True
frame_4444.png,24,24 50,False
frame_4445.png,24,24,True
frame_4446.png,24,24,True
frame_4447.png,24,24,True
frame_4448.png,24,24 0,False
frame_4449.png,24,24 0,False
frame_4450.png,24,24,True
frame_4451.png,24,24 0,False
frame_4452.png,24,24 0,False
frame_4453.png,24,24 5,False
frame_4454.png,24,24,True
frame_4455.png,24,24,True
frame_4456.png,24,24,True
frame_4457.png,24,24,True
frame_4458.png,24,24 50,False
frame_4459.png,24,24,True
frame_4460.png,24,24,True
frame_4461.png,24,24,True
frame_4462.png,24,24 0,False
frame_4463.png,24,24,True
frame_4464.png,24,24 50,False
frame_4465.png,24,24 0,False
frame_4466.png,24,24 0,False
frame_4467.png,24,24 0,False
frame_4468.png,24,24 0,False
frame_4469.png,24,24,True
frame_4470.png,24,24 4,False
frame_4471.png,24,24,True
frame_4472.png,24,24 0,False
frame_4473.png,24,24,True
frame_4474.png,24,24 70,False
frame_4475.png,24,24,True
frame_4476.png,24,24 0,False
frame_4477.png,24,24 0,False
frame_4478.png,24,24,True
frame_4479.png,24,24 0,False
frame_4480.png,24,24,True
frame_4481.png,24,24,True
frame_4482.png,24,24,True
frame_4483.png,24,24,True
frame_4484.png,24,24,True
frame_4485.png,24,24 -0,False
frame_4486.png,24,24 0,False
frame_4487.png,24,24 -0,False
frame_4488.png,24,24 0,False
frame_4489.png,24,24 50,False
frame_4490.png,24,24 50,False
frame_4491.png,24,24 50,False
frame_4492.png,24,24,True
frame_4493.png,24,24,True
frame_4494.png,24,24,True
frame_4495.png,24,24,True
frame_4496.png,24,24,True
frame_4497.png,24,24,True
frame_4498.png,24,24,True
frame_4499.png,24,24,True
frame_4500.png,24,24 50,False
frame_4501.png,24,24,True
frame_4502.png,24,24,True
frame_4503.png,24,24,True
frame_4504.png,24,24,True
frame_4505.png,24,24,True
frame_4506.png,24,24,True
frame_4507.png,24,24,True
frame_4508.png,24,24,True
frame_4509.png,24,24,True
frame_4510.png,24,24 50,False
frame_4511.png,24,24,True
frame_4512.png,24,24 50,False
frame_4513.png,24,24,True
frame_4514.png,24,24 50,False
frame_4515.png,24,24 50,False
